"DiseaseMapID","ICD10","Condition"
3016,"C8495","Cancer"
3017,"C8496","Cancer"
3018,"C8497","Cancer"
3019,"C8498","Cancer"
3020,"C8499","Cancer"
3021,"C84A","Cancer"
3022,"C84A0","Cancer"
3023,"C84A1","Cancer"
3024,"C84A2","Cancer"
3025,"C84A3","Cancer"
3026,"C84A4","Cancer"
3027,"C84A5","Cancer"
3028,"C84A6","Cancer"
3029,"C84A7","Cancer"
3030,"C84A8","Cancer"
3031,"C84A9","Cancer"
3032,"C84Z","Cancer"
3033,"C84Z0","Cancer"
3034,"C84Z1","Cancer"
3035,"C84Z2","Cancer"
3036,"C84Z3","Cancer"
3037,"C84Z4","Cancer"
3038,"C84Z5","Cancer"
3039,"C84Z6","Cancer"
3040,"C84Z7","Cancer"
3041,"C84Z8","Cancer"
3042,"C84Z9","Cancer"
3043,"C85","Cancer"
3044,"C851","Cancer"
3045,"C8510","Cancer"
3046,"C8511","Cancer"
3047,"C8512","Cancer"
3048,"C8513","Cancer"
3049,"C8514","Cancer"
3050,"C8515","Cancer"
3051,"C8516","Cancer"
3052,"C8517","Cancer"
3053,"C8518","Cancer"
3054,"C8519","Cancer"
3055,"C852","Cancer"
3056,"C8520","Cancer"
3057,"C8521","Cancer"
3058,"C8522","Cancer"
3059,"C8523","Cancer"
3060,"C8524","Cancer"
3061,"C8525","Cancer"
3062,"C8526","Cancer"
3063,"C8527","Cancer"
3064,"C8528","Cancer"
3065,"C8529","Cancer"
3066,"C858","Cancer"
3067,"C8580","Cancer"
3068,"C8581","Cancer"
3069,"C8582","Cancer"
3070,"C8583","Cancer"
3071,"C8584","Cancer"
3072,"C8585","Cancer"
3073,"C8586","Cancer"
3074,"C8587","Cancer"
3075,"C8588","Cancer"
3076,"C8589","Cancer"
3077,"C859","Cancer"
3078,"C8590","Cancer"
3079,"C8591","Cancer"
3080,"C8592","Cancer"
3081,"C8593","Cancer"
3082,"C8594","Cancer"
3083,"C8595","Cancer"
3084,"C8596","Cancer"
3085,"C8597","Cancer"
3086,"C8598","Cancer"
3087,"C8599","Cancer"
3088,"C88","Cancer"
3089,"C880","Cancer"
3090,"C882","Cancer"
3091,"C883","Cancer"
3092,"C884","Cancer"
3093,"C888","Cancer"
3094,"C889","Cancer"
3095,"C90","Cancer"
3096,"C900","Cancer"
3097,"C9000","Cancer"
3098,"C9001","Cancer"
3099,"C9002","Cancer"
3100,"C901","Cancer"
3101,"C9010","Cancer"
3102,"C9011","Cancer"
3103,"C9012","Cancer"
3104,"C902","Cancer"
3105,"C9020","Cancer"
3106,"C9021","Cancer"
3107,"C9022","Cancer"
3108,"C903","Cancer"
3109,"C9030","Cancer"
3110,"C9031","Cancer"
3111,"C9032","Cancer"
3112,"C91","Cancer"
3113,"C910","Cancer"
3114,"C9100","Cancer"
3115,"C9101","Cancer"
3116,"C9102","Cancer"
3117,"C911","Cancer"
3118,"C9110","Cancer"
3119,"C9111","Cancer"
3120,"C9112","Cancer"
3121,"C913","Cancer"
3122,"C9130","Cancer"
3123,"C9131","Cancer"
3124,"C9132","Cancer"
3125,"C914","Cancer"
3126,"C9140","Cancer"
3127,"C9141","Cancer"
3128,"C9142","Cancer"
3129,"C915","Cancer"
3130,"C9150","Cancer"
3131,"C9151","Cancer"
3132,"C9152","Cancer"
3133,"C916","Cancer"
3134,"C9160","Cancer"
3135,"C9161","Cancer"
3136,"C9162","Cancer"
3137,"C919","Cancer"
3138,"C9190","Cancer"
3139,"C9191","Cancer"
3140,"C9192","Cancer"
3141,"C91A","Cancer"
3142,"C91A0","Cancer"
3143,"C91A1","Cancer"
3144,"C91A2","Cancer"
3145,"C91Z","Cancer"
3146,"C91Z0","Cancer"
3147,"C91Z1","Cancer"
3148,"C91Z2","Cancer"
3149,"C92","Cancer"
3150,"C920","Cancer"
3151,"C9200","Cancer"
3152,"C9201","Cancer"
3153,"C9202","Cancer"
3154,"C921","Cancer"
3155,"C9210","Cancer"
3156,"C9211","Cancer"
3157,"C9212","Cancer"
3158,"C922","Cancer"
3159,"C9220","Cancer"
3160,"C9221","Cancer"
3161,"C9222","Cancer"
3162,"C923","Cancer"
3163,"C9230","Cancer"
3164,"C9231","Cancer"
3165,"C9232","Cancer"
3166,"C924","Cancer"
3167,"C9240","Cancer"
3168,"C9241","Cancer"
3169,"C9242","Cancer"
3170,"C925","Cancer"
3171,"C9250","Cancer"
3172,"C9251","Cancer"
3173,"C9252","Cancer"
3174,"C926","Cancer"
3175,"C9260","Cancer"
3176,"C9261","Cancer"
3177,"C9262","Cancer"
3178,"C929","Cancer"
3179,"C9290","Cancer"
3180,"C9291","Cancer"
3181,"C9292","Cancer"
3182,"C92A","Cancer"
3183,"C92A0","Cancer"
3184,"C92A1","Cancer"
3185,"C92A2","Cancer"
3186,"C92Z","Cancer"
3187,"C92Z0","Cancer"
3188,"C92Z1","Cancer"
3189,"C92Z2","Cancer"
3190,"C93","Cancer"
3191,"C930","Cancer"
3192,"C9300","Cancer"
3193,"C9301","Cancer"
3194,"C9302","Cancer"
3195,"C931","Cancer"
3196,"C9310","Cancer"
3197,"C9311","Cancer"
3198,"C9312","Cancer"
3199,"C933","Cancer"
3200,"C9330","Cancer"
3201,"C9331","Cancer"
3202,"C9332","Cancer"
3203,"C939","Cancer"
3204,"C9390","Cancer"
3205,"C9391","Cancer"
3206,"C9392","Cancer"
3207,"C93Z","Cancer"
3208,"C93Z0","Cancer"
3209,"C93Z1","Cancer"
3210,"C93Z2","Cancer"
3211,"C94","Cancer"
3212,"C940","Cancer"
3213,"C9400","Cancer"
3214,"C9401","Cancer"
3215,"C9402","Cancer"
3216,"C942","Cancer"
3217,"C9420","Cancer"
3218,"C9421","Cancer"
3219,"C9422","Cancer"
3220,"C943","Cancer"
3221,"C9430","Cancer"
3222,"C9431","Cancer"
3223,"C9432","Cancer"
3224,"C944","Cancer"
3225,"C9440","Cancer"
3226,"C9441","Cancer"
3227,"C9442","Cancer"
3228,"C946","Cancer"
3229,"C948","Cancer"
3230,"C9480","Cancer"
3231,"C9481","Cancer"
3232,"C9482","Cancer"
3233,"C95","Cancer"
3234,"C950","Cancer"
3235,"C9500","Cancer"
3236,"C9501","Cancer"
3237,"C9502","Cancer"
3238,"C951","Cancer"
3239,"C9510","Cancer"
3240,"C9511","Cancer"
3241,"C9512","Cancer"
3242,"C959","Cancer"
3243,"C9590","Cancer"
3244,"C9591","Cancer"
3245,"C9592","Cancer"
3246,"C96","Cancer"
3247,"C960","Cancer"
3248,"C962","Cancer"
3249,"C9620","Cancer"
3250,"C9621","Cancer"
3251,"C9622","Cancer"
3252,"C9629","Cancer"
3253,"C964","Cancer"
3254,"C965","Cancer"
3255,"C966","Cancer"
3256,"C969","Cancer"
3257,"C96A","Cancer"
3258,"C96Z","Cancer"
3259,"C97","Cancer"
25,"I099","Congestive_heart_failure"
26,"I110","Congestive_heart_failure"
27,"I130","Congestive_heart_failure"
28,"I132","Congestive_heart_failure"
29,"I255","Congestive_heart_failure"
30,"I420","Congestive_heart_failure"
31,"I425","Congestive_heart_failure"
32,"I426","Congestive_heart_failure"
33,"I427","Congestive_heart_failure"
34,"I428","Congestive_heart_failure"
35,"I429","Congestive_heart_failure"
36,"I43","Congestive_heart_failure"
37,"I50","Congestive_heart_failure"
38,"I501","Congestive_heart_failure"
39,"I502","Congestive_heart_failure"
40,"I5020","Congestive_heart_failure"
41,"I5021","Congestive_heart_failure"
42,"I5022","Congestive_heart_failure"
43,"I5023","Congestive_heart_failure"
44,"I503","Congestive_heart_failure"
45,"I5030","Congestive_heart_failure"
46,"I5031","Congestive_heart_failure"
47,"I5032","Congestive_heart_failure"
48,"I5033","Congestive_heart_failure"
49,"I504","Congestive_heart_failure"
50,"I5040","Congestive_heart_failure"
51,"I5041","Congestive_heart_failure"
52,"I5042","Congestive_heart_failure"
53,"I5043","Congestive_heart_failure"
54,"I508","Congestive_heart_failure"
55,"I5081","Congestive_heart_failure"
56,"I50810","Congestive_heart_failure"
57,"I50811","Congestive_heart_failure"
58,"I50812","Congestive_heart_failure"
59,"I50813","Congestive_heart_failure"
60,"I50814","Congestive_heart_failure"
61,"I5082","Congestive_heart_failure"
62,"I5083","Congestive_heart_failure"
63,"I5084","Congestive_heart_failure"
64,"I5089","Congestive_heart_failure"
65,"I509","Congestive_heart_failure"
66,"P290","Congestive_heart_failure"
930,"F00","Dementia"
931,"F01","Dementia"
932,"F015","Dementia"
933,"F0150","Dementia"
934,"F0151","Dementia"
935,"F02","Dementia"
936,"F028","Dementia"
937,"F0280","Dementia"
938,"F0281","Dementia"
939,"F03","Dementia"
940,"F039","Dementia"
941,"F0390","Dementia"
942,"F0391","Dementia"
943,"F051","Dementia"
944,"G30","Dementia"
945,"G300","Dementia"
946,"G301","Dementia"
947,"G308","Dementia"
948,"G309","Dementia"
949,"G311","Dementia"
3376,"F320","Depression"
3377,"F321","Depression"
3378,"F322","Depression"
3379,"F323","Depression"
3380,"F328","Depression"
3381,"F329","Depression"
3382,"F330","Depression"
3383,"F331","Depression"
3384,"F332","Depression"
3385,"F333","Depression"
3386,"F338","Depression"
3387,"F339","Depression"
3388,"F341","Depression"
3389,"F4321","Depression"
1669,"E102","Diabetes_with_complications"
1670,"E1021","Diabetes_with_complications"
1671,"E1022","Diabetes_with_complications"
1672,"E1029","Diabetes_with_complications"
1673,"E103","Diabetes_with_complications"
1674,"E1031","Diabetes_with_complications"
1675,"E10311","Diabetes_with_complications"
1676,"E10319","Diabetes_with_complications"
1677,"E1032","Diabetes_with_complications"
1678,"E10321","Diabetes_with_complications"
1679,"E103211","Diabetes_with_complications"
1680,"E103212","Diabetes_with_complications"
1681,"E103213","Diabetes_with_complications"
1682,"E103219","Diabetes_with_complications"
1683,"E10329","Diabetes_with_complications"
1684,"E103291","Diabetes_with_complications"
1685,"E103292","Diabetes_with_complications"
1686,"E103293","Diabetes_with_complications"
1687,"E103299","Diabetes_with_complications"
1688,"E1033","Diabetes_with_complications"
1689,"E10331","Diabetes_with_complications"
1690,"E103311","Diabetes_with_complications"
1691,"E103312","Diabetes_with_complications"
1692,"E103313","Diabetes_with_complications"
1693,"E103319","Diabetes_with_complications"
1694,"E10339","Diabetes_with_complications"
1695,"E103391","Diabetes_with_complications"
1696,"E103392","Diabetes_with_complications"
1697,"E103393","Diabetes_with_complications"
1698,"E103399","Diabetes_with_complications"
1699,"E1034","Diabetes_with_complications"
1700,"E10341","Diabetes_with_complications"
1701,"E103411","Diabetes_with_complications"
1702,"E103412","Diabetes_with_complications"
1703,"E103413","Diabetes_with_complications"
1704,"E103419","Diabetes_with_complications"
1705,"E10349","Diabetes_with_complications"
1706,"E103491","Diabetes_with_complications"
1707,"E103492","Diabetes_with_complications"
1708,"E103493","Diabetes_with_complications"
1709,"E103499","Diabetes_with_complications"
1710,"E1035","Diabetes_with_complications"
1711,"E10351","Diabetes_with_complications"
1712,"E103511","Diabetes_with_complications"
1713,"E103512","Diabetes_with_complications"
1714,"E103513","Diabetes_with_complications"
1715,"E103519","Diabetes_with_complications"
1716,"E10352","Diabetes_with_complications"
1717,"E103521","Diabetes_with_complications"
1718,"E103522","Diabetes_with_complications"
1719,"E103523","Diabetes_with_complications"
1720,"E103529","Diabetes_with_complications"
1721,"E10353","Diabetes_with_complications"
1722,"E103531","Diabetes_with_complications"
1723,"E103532","Diabetes_with_complications"
1724,"E103533","Diabetes_with_complications"
1725,"E103539","Diabetes_with_complications"
1726,"E10354","Diabetes_with_complications"
1727,"E103541","Diabetes_with_complications"
1728,"E103542","Diabetes_with_complications"
1729,"E103543","Diabetes_with_complications"
1730,"E103549","Diabetes_with_complications"
1731,"E10355","Diabetes_with_complications"
1732,"E103551","Diabetes_with_complications"
1733,"E103552","Diabetes_with_complications"
1734,"E103553","Diabetes_with_complications"
1735,"E103559","Diabetes_with_complications"
1736,"E10359","Diabetes_with_complications"
1737,"E103591","Diabetes_with_complications"
1738,"E103592","Diabetes_with_complications"
1739,"E103593","Diabetes_with_complications"
1740,"E103599","Diabetes_with_complications"
1741,"E1036","Diabetes_with_complications"
1742,"E1037","Diabetes_with_complications"
1743,"E1037X1","Diabetes_with_complications"
1744,"E1037X2","Diabetes_with_complications"
1745,"E1037X3","Diabetes_with_complications"
1746,"E1037X9","Diabetes_with_complications"
1747,"E1039","Diabetes_with_complications"
1748,"E104","Diabetes_with_complications"
1749,"E1040","Diabetes_with_complications"
1750,"E1041","Diabetes_with_complications"
1751,"E1042","Diabetes_with_complications"
1752,"E1043","Diabetes_with_complications"
1753,"E1044","Diabetes_with_complications"
1754,"E1049","Diabetes_with_complications"
1755,"E105","Diabetes_with_complications"
1756,"E1051","Diabetes_with_complications"
1757,"E1052","Diabetes_with_complications"
1758,"E1059","Diabetes_with_complications"
1759,"E107","Diabetes_with_complications"
1760,"E112","Diabetes_with_complications"
1761,"E1121","Diabetes_with_complications"
1762,"E1122","Diabetes_with_complications"
1763,"E1129","Diabetes_with_complications"
1764,"E113","Diabetes_with_complications"
1765,"E1131","Diabetes_with_complications"
1766,"E11311","Diabetes_with_complications"
1767,"E11319","Diabetes_with_complications"
1768,"E1132","Diabetes_with_complications"
1769,"E11321","Diabetes_with_complications"
1770,"E113211","Diabetes_with_complications"
1771,"E113212","Diabetes_with_complications"
1772,"E113213","Diabetes_with_complications"
1773,"E113219","Diabetes_with_complications"
1774,"E11329","Diabetes_with_complications"
1775,"E113291","Diabetes_with_complications"
1776,"E113292","Diabetes_with_complications"
1777,"E113293","Diabetes_with_complications"
1778,"E113299","Diabetes_with_complications"
1779,"E1133","Diabetes_with_complications"
1780,"E11331","Diabetes_with_complications"
1781,"E113311","Diabetes_with_complications"
1782,"E113312","Diabetes_with_complications"
1783,"E113313","Diabetes_with_complications"
1784,"E113319","Diabetes_with_complications"
1785,"E11339","Diabetes_with_complications"
1786,"E113391","Diabetes_with_complications"
1787,"E113392","Diabetes_with_complications"
1788,"E113393","Diabetes_with_complications"
1789,"E113399","Diabetes_with_complications"
1790,"E1134","Diabetes_with_complications"
1791,"E11341","Diabetes_with_complications"
1792,"E113411","Diabetes_with_complications"
1793,"E113412","Diabetes_with_complications"
1794,"E113413","Diabetes_with_complications"
1795,"E113419","Diabetes_with_complications"
1796,"E11349","Diabetes_with_complications"
1797,"E113491","Diabetes_with_complications"
1798,"E113492","Diabetes_with_complications"
1799,"E113493","Diabetes_with_complications"
1800,"E113499","Diabetes_with_complications"
1801,"E1135","Diabetes_with_complications"
1802,"E11351","Diabetes_with_complications"
1803,"E113511","Diabetes_with_complications"
1804,"E113512","Diabetes_with_complications"
1805,"E113513","Diabetes_with_complications"
1806,"E113519","Diabetes_with_complications"
1807,"E11352","Diabetes_with_complications"
1808,"E113521","Diabetes_with_complications"
1809,"E113522","Diabetes_with_complications"
1810,"E113523","Diabetes_with_complications"
1811,"E113529","Diabetes_with_complications"
1812,"E11353","Diabetes_with_complications"
1813,"E113531","Diabetes_with_complications"
1814,"E113532","Diabetes_with_complications"
1815,"E113533","Diabetes_with_complications"
1816,"E113539","Diabetes_with_complications"
1817,"E11354","Diabetes_with_complications"
1818,"E113541","Diabetes_with_complications"
1819,"E113542","Diabetes_with_complications"
1820,"E113543","Diabetes_with_complications"
1821,"E113549","Diabetes_with_complications"
1822,"E11355","Diabetes_with_complications"
1823,"E113551","Diabetes_with_complications"
1824,"E113552","Diabetes_with_complications"
1825,"E113553","Diabetes_with_complications"
1826,"E113559","Diabetes_with_complications"
1827,"E11359","Diabetes_with_complications"
1828,"E113591","Diabetes_with_complications"
1829,"E113592","Diabetes_with_complications"
1830,"E113593","Diabetes_with_complications"
1831,"E113599","Diabetes_with_complications"
1832,"E1136","Diabetes_with_complications"
1833,"E1137","Diabetes_with_complications"
1834,"E1137X1","Diabetes_with_complications"
1835,"E1137X2","Diabetes_with_complications"
1836,"E1137X3","Diabetes_with_complications"
1837,"E1137X9","Diabetes_with_complications"
1838,"E1139","Diabetes_with_complications"
1839,"E114","Diabetes_with_complications"
1840,"E1140","Diabetes_with_complications"
1841,"E1141","Diabetes_with_complications"
1842,"E1142","Diabetes_with_complications"
1843,"E1143","Diabetes_with_complications"
1844,"E1144","Diabetes_with_complications"
1845,"E1149","Diabetes_with_complications"
1846,"E115","Diabetes_with_complications"
1847,"E1151","Diabetes_with_complications"
1848,"E1152","Diabetes_with_complications"
1849,"E1159","Diabetes_with_complications"
1850,"E117","Diabetes_with_complications"
1851,"E122","Diabetes_with_complications"
1852,"E123","Diabetes_with_complications"
1853,"E124","Diabetes_with_complications"
1854,"E125","Diabetes_with_complications"
1855,"E127","Diabetes_with_complications"
1856,"E132","Diabetes_with_complications"
1857,"E1321","Diabetes_with_complications"
1858,"E1322","Diabetes_with_complications"
1859,"E1329","Diabetes_with_complications"
1860,"E133","Diabetes_with_complications"
1861,"E1331","Diabetes_with_complications"
1862,"E13311","Diabetes_with_complications"
1863,"E13319","Diabetes_with_complications"
1864,"E1332","Diabetes_with_complications"
1865,"E13321","Diabetes_with_complications"
1866,"E133211","Diabetes_with_complications"
1867,"E133212","Diabetes_with_complications"
1868,"E133213","Diabetes_with_complications"
1869,"E133219","Diabetes_with_complications"
1870,"E13329","Diabetes_with_complications"
1871,"E133291","Diabetes_with_complications"
1872,"E133292","Diabetes_with_complications"
1873,"E133293","Diabetes_with_complications"
1874,"E133299","Diabetes_with_complications"
1875,"E1333","Diabetes_with_complications"
1876,"E13331","Diabetes_with_complications"
1877,"E133311","Diabetes_with_complications"
1878,"E133312","Diabetes_with_complications"
1879,"E133313","Diabetes_with_complications"
1880,"E133319","Diabetes_with_complications"
1881,"E13339","Diabetes_with_complications"
1882,"E133391","Diabetes_with_complications"
1883,"E133392","Diabetes_with_complications"
1884,"E133393","Diabetes_with_complications"
1885,"E133399","Diabetes_with_complications"
1886,"E1334","Diabetes_with_complications"
1887,"E13341","Diabetes_with_complications"
1888,"E133411","Diabetes_with_complications"
1889,"E133412","Diabetes_with_complications"
1890,"E133413","Diabetes_with_complications"
1891,"E133419","Diabetes_with_complications"
1892,"E13349","Diabetes_with_complications"
1893,"E133491","Diabetes_with_complications"
1894,"E133492","Diabetes_with_complications"
1895,"E133493","Diabetes_with_complications"
1896,"E133499","Diabetes_with_complications"
1897,"E1335","Diabetes_with_complications"
1898,"E13351","Diabetes_with_complications"
1899,"E133511","Diabetes_with_complications"
1900,"E133512","Diabetes_with_complications"
1901,"E133513","Diabetes_with_complications"
1902,"E133519","Diabetes_with_complications"
1903,"E13352","Diabetes_with_complications"
1904,"E133521","Diabetes_with_complications"
1905,"E133522","Diabetes_with_complications"
1906,"E133523","Diabetes_with_complications"
1907,"E133529","Diabetes_with_complications"
1908,"E13353","Diabetes_with_complications"
1909,"E133531","Diabetes_with_complications"
1910,"E133532","Diabetes_with_complications"
1911,"E133533","Diabetes_with_complications"
1912,"E133539","Diabetes_with_complications"
1913,"E13354","Diabetes_with_complications"
1914,"E133541","Diabetes_with_complications"
1915,"E133542","Diabetes_with_complications"
1916,"E133543","Diabetes_with_complications"
1917,"E133549","Diabetes_with_complications"
1918,"E13355","Diabetes_with_complications"
1919,"E133551","Diabetes_with_complications"
1920,"E133552","Diabetes_with_complications"
1921,"E133553","Diabetes_with_complications"
1922,"E133559","Diabetes_with_complications"
1923,"E13359","Diabetes_with_complications"
1924,"E133591","Diabetes_with_complications"
1925,"E133592","Diabetes_with_complications"
1926,"E133593","Diabetes_with_complications"
1927,"E133599","Diabetes_with_complications"
1928,"E1336","Diabetes_with_complications"
1929,"E1337","Diabetes_with_complications"
1930,"E1337X1","Diabetes_with_complications"
1931,"E1337X2","Diabetes_with_complications"
1932,"E1337X3","Diabetes_with_complications"
1933,"E1337X9","Diabetes_with_complications"
1934,"E1339","Diabetes_with_complications"
1935,"E134","Diabetes_with_complications"
1936,"E1340","Diabetes_with_complications"
1937,"E1341","Diabetes_with_complications"
1938,"E1342","Diabetes_with_complications"
1939,"E1343","Diabetes_with_complications"
1940,"E1344","Diabetes_with_complications"
1941,"E1349","Diabetes_with_complications"
1942,"E135","Diabetes_with_complications"
1943,"E1351","Diabetes_with_complications"
1944,"E1352","Diabetes_with_complications"
1945,"E1359","Diabetes_with_complications"
1946,"E137","Diabetes_with_complications"
1947,"E142","Diabetes_with_complications"
1948,"E143","Diabetes_with_complications"
1949,"E144","Diabetes_with_complications"
1950,"E145","Diabetes_with_complications"
1951,"E147","Diabetes_with_complications"
1586,"E100","Diabetes_without_complications"
1587,"E101","Diabetes_without_complications"
1588,"E1010","Diabetes_without_complications"
1589,"E1011","Diabetes_without_complications"
1590,"E106","Diabetes_without_complications"
1591,"E1061","Diabetes_without_complications"
1592,"E10610","Diabetes_without_complications"
1593,"E10618","Diabetes_without_complications"
1594,"E1062","Diabetes_without_complications"
1595,"E10620","Diabetes_without_complications"
1596,"E10621","Diabetes_without_complications"
1597,"E10622","Diabetes_without_complications"
1598,"E10628","Diabetes_without_complications"
1599,"E1063","Diabetes_without_complications"
1600,"E10630","Diabetes_without_complications"
1601,"E10638","Diabetes_without_complications"
1602,"E1064","Diabetes_without_complications"
1603,"E10641","Diabetes_without_complications"
1604,"E10649","Diabetes_without_complications"
1605,"E1065","Diabetes_without_complications"
1606,"E1069","Diabetes_without_complications"
1607,"E108","Diabetes_without_complications"
1608,"E109","Diabetes_without_complications"
1609,"E110","Diabetes_without_complications"
1610,"E1100","Diabetes_without_complications"
1611,"E1101","Diabetes_without_complications"
1612,"E111","Diabetes_without_complications"
1613,"E1110","Diabetes_without_complications"
1614,"E1111","Diabetes_without_complications"
1615,"E116","Diabetes_without_complications"
1616,"E1161","Diabetes_without_complications"
1617,"E11610","Diabetes_without_complications"
1618,"E11618","Diabetes_without_complications"
1619,"E1162","Diabetes_without_complications"
1620,"E11620","Diabetes_without_complications"
1621,"E11621","Diabetes_without_complications"
1622,"E11622","Diabetes_without_complications"
1623,"E11628","Diabetes_without_complications"
1624,"E1163","Diabetes_without_complications"
1625,"E11630","Diabetes_without_complications"
1626,"E11638","Diabetes_without_complications"
1627,"E1164","Diabetes_without_complications"
1628,"E11641","Diabetes_without_complications"
1629,"E11649","Diabetes_without_complications"
1630,"E1165","Diabetes_without_complications"
1631,"E1169","Diabetes_without_complications"
1632,"E118","Diabetes_without_complications"
1633,"E119","Diabetes_without_complications"
1634,"E120","Diabetes_without_complications"
1635,"E121","Diabetes_without_complications"
1636,"E126","Diabetes_without_complications"
1637,"E128","Diabetes_without_complications"
1638,"E129","Diabetes_without_complications"
1639,"E130","Diabetes_without_complications"
1640,"E1300","Diabetes_without_complications"
1641,"E1301","Diabetes_without_complications"
1642,"E131","Diabetes_without_complications"
1643,"E1310","Diabetes_without_complications"
1644,"E1311","Diabetes_without_complications"
1645,"E136","Diabetes_without_complications"
1646,"E1361","Diabetes_without_complications"
1647,"E13610","Diabetes_without_complications"
1648,"E13618","Diabetes_without_complications"
1649,"E1362","Diabetes_without_complications"
1650,"E13620","Diabetes_without_complications"
1651,"E13621","Diabetes_without_complications"
1652,"E13622","Diabetes_without_complications"
1653,"E13628","Diabetes_without_complications"
1654,"E1363","Diabetes_without_complications"
1655,"E13630","Diabetes_without_complications"
1656,"E13638","Diabetes_without_complications"
1657,"E1364","Diabetes_without_complications"
1658,"E13641","Diabetes_without_complications"
1659,"E13649","Diabetes_without_complications"
1660,"E1365","Diabetes_without_complications"
1661,"E1369","Diabetes_without_complications"
1662,"E138","Diabetes_without_complications"
1663,"E139","Diabetes_without_complications"
1664,"E140","Diabetes_without_complications"
1665,"E141","Diabetes_without_complications"
1666,"E146","Diabetes_without_complications"
1667,"E148","Diabetes_without_complications"
1668,"E149","Diabetes_without_complications"
3403,"F1110","Drugs"
3404,"F11120","Drugs"
3405,"F11122","Drugs"
3406,"F11129","Drugs"
3407,"F1114","Drugs"
3408,"F11159","Drugs"
3409,"F11181","Drugs"
3410,"F11182","Drugs"
3411,"F11188","Drugs"
3412,"F1119","Drugs"
3413,"F1120","Drugs"
3414,"F1121","Drugs"
3415,"F11220","Drugs"
3416,"F11221","Drugs"
3417,"F11222","Drugs"
3418,"F11229","Drugs"
3419,"F1123","Drugs"
3420,"F1124","Drugs"
3421,"F11250","Drugs"
3422,"F11251","Drugs"
3423,"F11259","Drugs"
3424,"F11281","Drugs"
3425,"F11282","Drugs"
3426,"F11288","Drugs"
3427,"F1129","Drugs"
3428,"F1190","Drugs"
3429,"F11922","Drugs"
3430,"F1193","Drugs"
3431,"F1194","Drugs"
3432,"F11959","Drugs"
3433,"F11981","Drugs"
3434,"F11982","Drugs"
3435,"F11988","Drugs"
3436,"F1199","Drugs"
3437,"F1210","Drugs"
3438,"F12122","Drugs"
3439,"F12159","Drugs"
3440,"F12180","Drugs"
3441,"F12188","Drugs"
3442,"F1219","Drugs"
3443,"F1220","Drugs"
3444,"F1221","Drugs"
3445,"F12220","Drugs"
3446,"F12221","Drugs"
3447,"F12222","Drugs"
3448,"F12229","Drugs"
3449,"F12250","Drugs"
3450,"F12251","Drugs"
3451,"F12259","Drugs"
3452,"F12280","Drugs"
3453,"F12288","Drugs"
3454,"F1229","Drugs"
3455,"F1290","Drugs"
3456,"F12922","Drugs"
3457,"F12959","Drugs"
3458,"F12980","Drugs"
3459,"F12988","Drugs"
3460,"F1299","Drugs"
3461,"F1310","Drugs"
3462,"F13120","Drugs"
3463,"F1314","Drugs"
3464,"F13159","Drugs"
3465,"F13180","Drugs"
3466,"F13181","Drugs"
3467,"F13182","Drugs"
3468,"F13188","Drugs"
3469,"F1319","Drugs"
3470,"F1320","Drugs"
3471,"F1321","Drugs"
3472,"F13220","Drugs"
3473,"F13221","Drugs"
3474,"F13229","Drugs"
3475,"F13230","Drugs"
3476,"F13231","Drugs"
3477,"F13232","Drugs"
3478,"F13239","Drugs"
3479,"F1324","Drugs"
3480,"F13250","Drugs"
3481,"F13251","Drugs"
3482,"F13259","Drugs"
3483,"F1326","Drugs"
3484,"F1327","Drugs"
3485,"F13280","Drugs"
3486,"F13281","Drugs"
3487,"F13282","Drugs"
3488,"F13288","Drugs"
3489,"F1329","Drugs"
3490,"F1390","Drugs"
3491,"F13930","Drugs"
3492,"F13931","Drugs"
3493,"F13932","Drugs"
3494,"F13939","Drugs"
3495,"F1394","Drugs"
3496,"F13959","Drugs"
3497,"F1396","Drugs"
3498,"F1397","Drugs"
3499,"F13980","Drugs"
3500,"F13981","Drugs"
3501,"F13982","Drugs"
3502,"F13988","Drugs"
3503,"F1399","Drugs"
3504,"F1410","Drugs"
3505,"F14120","Drugs"
3506,"F14122","Drugs"
3507,"F1414","Drugs"
3508,"F14159","Drugs"
3509,"F14180","Drugs"
3510,"F14181","Drugs"
3511,"F14182","Drugs"
3512,"F14188","Drugs"
3513,"F1419","Drugs"
3514,"F1420","Drugs"
3515,"F1421","Drugs"
3516,"F14220","Drugs"
3517,"F14221","Drugs"
3518,"F14222","Drugs"
3519,"F14229","Drugs"
3520,"F1423","Drugs"
3521,"F1424","Drugs"
3522,"F14250","Drugs"
3523,"F14251","Drugs"
3524,"F14259","Drugs"
3525,"F14280","Drugs"
3526,"F14281","Drugs"
3527,"F14282","Drugs"
3528,"F14288","Drugs"
3529,"F1429","Drugs"
3530,"F1490","Drugs"
3531,"F14922","Drugs"
3532,"F1494","Drugs"
3533,"F14959","Drugs"
3534,"F14980","Drugs"
3535,"F14981","Drugs"
3536,"F14982","Drugs"
3537,"F14988","Drugs"
3538,"F1499","Drugs"
3539,"F1510","Drugs"
3540,"F15120","Drugs"
3541,"F15122","Drugs"
3542,"F1514","Drugs"
3543,"F15159","Drugs"
3544,"F15180","Drugs"
3545,"F15181","Drugs"
3546,"F15182","Drugs"
3547,"F15188","Drugs"
3548,"F1519","Drugs"
3549,"F1520","Drugs"
3550,"F1521","Drugs"
