"ICD10","ICD10Descr"
"C8318","Mantle cell lymphoma, lymph nodes of multiple sites"
"C005","Malignant neoplasm of lip, unspecified, inner aspect"
"C8293","Follicular lymphoma, unsp, intra-abdominal lymph nodes"
"C84A4","Cutan T-cell lymphoma, unsp, nodes of axilla and upper limb"
"C9110","Chronic lymphocytic leuk of B-cell type not achieve remis"
"C340","Malignant neoplasm of main bronchus"
"C00","Malignant neoplasm of lip"
"C50619","Malignant neoplasm of axillary tail of unsp female breast"
"C218","Malig neoplasm of ovrlp sites of rectum, anus and anal canal"
"C220","Liver cell carcinoma"
"C8263","Cutaneous follicle center lymphoma, intra-abd lymph nodes"
"C84A8","Cutaneous T-cell lymphoma, unsp, lymph nodes mult site"
"C07","Malignant neoplasm of parotid gland"
"C9441","Acute panmyelosis with myelofibrosis, in remission"
"C8415","Sezary disease, nodes of inguinal region and lower limb"
"C8449","Prph T-cell lymph, not class, extrnod and solid organ sites"
"C768","Malignant neoplasm of other specified ill-defined sites"
"C3400","Malignant neoplasm of unspecified main bronchus"
"C8209","Follicular lymphoma grade I, extrnod and solid organ sites"
"C670","Malignant neoplasm of trigone of bladder"
"C113","Malignant neoplasm of anterior wall of nasopharynx"
"C637","Malignant neoplasm of other specified male genital organs"
"C6200","Malignant neoplasm of unspecified undescended testis"
"C9131","Prolymphocytic leukemia of B-cell type, in remission"
"C13","Malignant neoplasm of hypopharynx"
"C92Z0","Other myeloid leukemia not having achieved remission"
"C10","Malignant neoplasm of oropharynx"
"C9501","Acute leukemia of unspecified cell type, in remission"
"C8306","Small cell B-cell lymphoma, intrapelvic lymph nodes"
"C6310","Malignant neoplasm of unspecified spermatic cord"
"C8280","Other types of follicular lymphoma, unspecified site"
"C312","Malignant neoplasm of frontal sinus"
"C021","Malignant neoplasm of border of tongue"
"C412","Malignant neoplasm of vertebral column"
"C84Z2","Other mature T/NK-cell lymphomas, intrathoracic lymph nodes"
"C50322","Malig neoplasm of lower-inner quadrant of left male breast"
"C9261","Acute myeloid leukemia with 11q23-abnormality in remission"
"C50211","Malig neoplm of upper-inner quadrant of right female breast"
"C8268","Cutaneous follicle center lymphoma, lymph nodes mult site"
"C965","Multifocal and unisystemic Langerhans-cell histiocytosis"
"C741","Malignant neoplasm of medulla of adrenal gland"
"C820","Follicular lymphoma grade I"
"C8408","Mycosis fungoides, lymph nodes of multiple sites"
"C8599","Non-Hodgkin lymphoma, unsp, extranodal and solid organ sites"
"C8583","Oth types of non-Hodgkin lymphoma, intra-abd lymph nodes"
"C676","Malignant neoplasm of ureteric orifice"
"C465","Kaposi's sarcoma of lung"
"C476","Malignant neoplasm of peripheral nerves of trunk, unsp"
"C8307","Small cell B-cell lymphoma, spleen"
"C90","Multiple myeloma and malignant plasma cell neoplasms"
"C93Z","Other monocytic leukemia"
"C4082","Malig neoplm of ovrlp sites of bone/artic cartl of left limb"
"C84A1","Cutan T-cell lymphoma, unsp nodes of head, face, and neck"
"C9390","Monocytic leukemia, unsp, not having achieved remission"
"C50129","Malignant neoplasm of central portion of unsp male breast"
"C84Z4","Oth mature T/NK-cell lymph, nodes of axilla and upper limb"
"C439","Malignant melanoma of skin, unspecified"
"C131","Malig neoplasm of aryepiglottic fold, hypopharyngeal aspect"
"C419","Malignant neoplasm of bone and articular cartilage, unsp"
"C490","Malig neoplm of conn and soft tissue of head, face and neck"
"C8379","Burkitt lymphoma, extranodal and solid organ sites"
"C8316","Mantle cell lymphoma, intrapelvic lymph nodes"
"C109","Malignant neoplasm of oropharynx, unspecified"
"C8122","Mixed cellular classical Hodgkin lymphoma, intrathorac nodes"
"C3492","Malignant neoplasm of unsp part of left bronchus or lung"
"C510","Malignant neoplasm of labium majus"
"C4371","Malignant melanoma of right lower limb, including hip"
"C21","Malignant neoplasm of anus and anal canal"
"C50321","Malig neoplasm of lower-inner quadrant of right male breast"
"C710","Malignant neoplasm of cerebrum, except lobes and ventricles"
"C8492","Mature T/NK-cell lymphomas, unsp, intrathoracic lymph nodes"
"C50419","Malig neoplasm of upper-outer quadrant of unsp female breast"
"C8330","Diffuse large B-cell lymphoma, unspecified site"
"C923","Myeloid sarcoma"
"C50312","Malig neoplasm of lower-inner quadrant of left female breast"
"C212","Malignant neoplasm of cloacogenic zone"
"C9210","Chronic myeloid leuk, BCR/ABL-positive, not achieve remis"
"C84A9","Cutan T-cell lymphoma, unsp, extrnod and solid organ sites"
"C210","Malignant neoplasm of anus, unspecified"
"C3431","Malignant neoplasm of lower lobe, right bronchus or lung"
"C960","Multifocal and multisystemic Langerhans-cell histiocytosis"
"C8109","Nodlr lymphocy predom Hdgkn lymph, extrnod & solid org site"
"C50622","Malignant neoplasm of axillary tail of left male breast"
"C817","Other classical Hodgkin lymphoma"
"C903","Solitary plasmacytoma"
"C6291","Malig neoplm of right testis, unsp descended or undescended"
"C8221","Foliclar lymph grade III, unsp, nodes of head, face, and nk"
"C039","Malignant neoplasm of gum, unspecified"
"C4020","Malignant neoplasm of long bones of unspecified lower limb"
"C163","Malignant neoplasm of pyloric antrum"
"C8353","Lymphoblastic (diffuse) lymphoma, intra-abd lymph nodes"
"C4012","Malignant neoplasm of short bones of left upper limb"
"C8528","Mediastinal (thymic) large B-cell lymphoma, nodes mult site"
"C8403","Mycosis fungoides, intra-abdominal lymph nodes"
"C186","Malignant neoplasm of descending colon"
"C8251","Diffuse folicl center lymph, nodes of head, face, and neck"
"C50929","Malignant neoplasm of unsp site of unspecified male breast"
"C8300","Small cell B-cell lymphoma, unspecified site"
"C433","Malignant melanoma of other and unspecified parts of face"
"C759","Malignant neoplasm of endocrine gland, unspecified"
"C8145","Lymp-rich class Hdgkn lymph, nodes of ing rgn and lower limb"
"C6931","Malignant neoplasm of right choroid"
"C45","Mesothelioma"
"C8461","Anaplstc lg cell lymph, ALK-pos, nodes of head, face, and nk"
"C8203","Follicular lymphoma grade I, intra-abdominal lymph nodes"
"C323","Malignant neoplasm of laryngeal cartilage"
"C8202","Follicular lymphoma grade I, intrathoracic lymph nodes"
"C8468","Anaplastic large cell lymphoma, ALK-pos, nodes mult site"
"C061","Malignant neoplasm of vestibule of mouth"
"C5012","Malignant neoplasm of central portion of breast, male"
"C464","Kaposi's sarcoma of gastrointestinal sites"
"C6990","Malignant neoplasm of unspecified site of unspecified eye"
"C8128","Mixed cellular classical Hodgkin lymphoma, nodes mult site"
"C8400","Mycosis fungoides, unspecified site"
"C921","Chronic myeloid leukemia, BCR/ABL-positive"
"C92Z2","Other myeloid leukemia, in relapse"
"C9032","Solitary plasmacytoma in relapse"
"C8580","Oth types of non-Hodgkin lymphoma, unspecified site"
"C8447","Peripheral T-cell lymphoma, not classified, spleen"
"C8239","Foliclar lymphoma grade IIIa, extrnod and solid organ sites"
"C4362","Malignant melanoma of left upper limb, including shoulder"
"C5002","Malignant neoplasm of nipple and areola, male"
"C577","Malignant neoplasm of other specified female genital organs"
"C8515","Unsp B-cell lymphoma, nodes of ing region and lower limb"
"C692","Malignant neoplasm of retina"
"C4021","Malignant neoplasm of long bones of right lower limb"
"C8147","Lymphocyte-rich classical Hodgkin lymphoma, spleen"
"C714","Malignant neoplasm of occipital lobe"
"C7491","Malignant neoplasm of unsp part of right adrenal gland"
"C408","Malig neoplasm of ovrlp sites of bone/artic cartl of limb"
"C9241","Acute promyelocytic leukemia, in remission"
"C948","Other specified leukemias"
"C8464","Anaplstc lg cell lymph, ALK-pos, nodes of axla and upr limb"
"C9511","Chronic leukemia of unspecified cell type, in remission"
"C508","Malignant neoplasm of overlapping sites of breast"
"C8249","Foliclar lymphoma grade IIIb, extrnod and solid organ sites"
"C8594","Non-Hodgkin lymphoma, unsp, nodes of axilla and upper limb"
"C819","Hodgkin lymphoma, unspecified"
"C8295","Foliclar lymphoma, unsp, nodes of ing region and lower limb"
"C4032","Malignant neoplasm of short bones of left lower limb"
"C410","Malignant neoplasm of bones of skull and face"
"C110","Malignant neoplasm of superior wall of nasopharynx"
"C030","Malignant neoplasm of upper gum"
"C6950","Malignant neoplasm of unspecified lacrimal gland and duct"
"C400","Malignant neoplasm of scapula and long bones of upper limb"
"C933","Juvenile myelomonocytic leukemia"
"C471","Malig neoplasm of prph nerves of upper limb, inc shoulder"
"C8490","Mature T/NK-cell lymphomas, unspecified, unspecified site"
"C481","Malignant neoplasm of specified parts of peritoneum"
"C409","Malignant neoplasm of unsp bones and artic cartilage of limb"
"C4322","Malignant melanoma of left ear and external auricular canal"
"C8173","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes"
"C4080","Malig neoplm of ovrlp sites of bone/artic cartl of unsp limb"
"C342","Malignant neoplasm of middle lobe, bronchus or lung"
"C8142","Lymp-rich classical Hodgkin lymphoma, intrathorac nodes"
"C50222","Malig neoplasm of upper-inner quadrant of left male breast"
"C9021","Extramedullary plasmacytoma in remission"
"C311","Malignant neoplasm of ethmoidal sinus"
"C6210","Malignant neoplasm of unspecified descended testis"
"C9431","Mast cell leukemia, in remission"
"C401","Malignant neoplasm of short bones of upper limb"
"C091","Malig neoplasm of tonsillar pillar (anterior) (posterior)"
"C8140","Lymphocyte-rich classical Hodgkin lymphoma, unspecified site"
"C8228","Follicular lymphoma grade III, unsp, lymph nodes mult site"
"C8124","Mix cellular class Hdgkn lymph, nodes of axla and upper limb"
"C9151","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission"
"C696","Malignant neoplasm of orbit"
"C9141","Hairy cell leukemia, in remission"
"C101","Malignant neoplasm of anterior surface of epiglottis"
"C8404","Mycosis fungoides, lymph nodes of axilla and upper limb"
"C92A2","Acute myeloid leukemia w multilineage dysplasia, in relapse"
"C8598","Non-Hodgkin lymphoma, unsp, lymph nodes of multiple sites"
"C8372","Burkitt lymphoma, intrathoracic lymph nodes"
"C7492","Malignant neoplasm of unspecified part of left adrenal gland"
"C46","Kaposi's sarcoma"
"C9480","Other specified leukemias not having achieved remission"
"C8193","Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes"
"C8405","Mycosis fungoides, nodes of inguinal region and lower limb"
"C188","Malignant neoplasm of overlapping sites of colon"
"C50311","Malig neoplm of lower-inner quadrant of right female breast"
"C701","Malignant neoplasm of spinal meninges"
"C31","Malignant neoplasm of accessory sinuses"
"C8191","Hodgkin lymphoma, unsp, lymph nodes of head, face, and neck"
"C8260","Cutaneous follicle center lymphoma, unspecified site"
"C482","Malignant neoplasm of peritoneum, unspecified"
"C8355","Lymphoblastic lymphoma, nodes of ing region and lower limb"
"C9162","Prolymphocytic leukemia of T-cell type, in relapse"
"C92Z1","Other myeloid leukemia, in remission"
"C435","Malignant melanoma of trunk"
"C8289","Oth types of foliclar lymph, extrnod and solid organ sites"
"C430","Malignant melanoma of lip"
"C8129","Mix cellular class Hdgkn lymph, extrnod and solid org sites"
"C9002","Multiple myeloma in relapse"
"C51","Malignant neoplasm of vulva"
"C049","Malignant neoplasm of floor of mouth, unspecified"
"C8139","Lymphocy deplet class Hdgkn lymph, extrnod & solid org site"
"C8205","Foliclar lymph grade I, nodes of ing region and lower limb"
"C844","Peripheral T-cell lymphoma, not classified"
"C6991","Malignant neoplasm of unspecified site of right eye"
"C8207","Follicular lymphoma grade I, spleen"
"C8262","Cutaneous follicle center lymphoma, intrathorac lymph nodes"
"C924","Acute promyelocytic leukemia"
"C8267","Cutaneous follicle center lymphoma, spleen"
"C8138","Lymphocy depleted class Hodgkin lymphoma, nodes mult site"
"C50612","Malignant neoplasm of axillary tail of left female breast"
"C8371","Burkitt lymphoma, lymph nodes of head, face, and neck"
"C8518","Unspecified B-cell lymphoma, lymph nodes of multiple sites"
"C4711","Malig neoplm of prph nerves of right upper limb, inc shldr"
"C8254","Diffuse folicl center lymph, nodes of axilla and upper limb"
"C9202","Acute myeloblastic leukemia, in relapse"
"C758","Malignant neoplasm with pluriglandular involvement, unsp"
"C8494","Mature T/NK-cell lymph, unsp, nodes of axilla and upper limb"
"C60","Malignant neoplasm of penis"
"C9300","Acute monoblastic/monocytic leukemia, not achieve remission"
"C495","Malignant neoplasm of connective and soft tissue of pelvis"
"C50919","Malignant neoplasm of unsp site of unspecified female breast"
"C320","Malignant neoplasm of glottis"
"C50529","Malig neoplasm of lower-outer quadrant of unsp male breast"
"C491","Malig neoplm of conn and soft tiss of upper limb, inc shldr"
"C8370","Burkitt lymphoma, unspecified site"
"C8227","Follicular lymphoma grade III, unspecified, spleen"
"C329","Malignant neoplasm of larynx, unspecified"
"C8397","Non-follicular (diffuse) lymphoma, unspecified, spleen"
"C8476","Anaplastic large cell lymphoma, ALK-neg, intrapelv nodes"
"C4022","Malignant neoplasm of long bones of left lower limb"
"C9240","Acute promyelocytic leukemia, not having achieved remission"
"C91Z0","Other lymphoid leukemia not having achieved remission"
"C112","Malignant neoplasm of lateral wall of nasopharynx"
"C969","Malig neoplm of lymphoid, hematpoetc and rel tissue, unsp"
"C494","Malignant neoplasm of connective and soft tissue of abdomen"
"C8296","Follicular lymphoma, unspecified, intrapelvic lymph nodes"
"C6302","Malignant neoplasm of left epididymis"
"C9332","Juvenile myelomonocytic leukemia, in relapse"
"C6911","Malignant neoplasm of right cornea"
"C50411","Malig neoplm of upper-outer quadrant of right female breast"
"C712","Malignant neoplasm of temporal lobe"
"C84Z5","Oth mature T/NK-cell lymph, nodes of ing rgn and lower limb"
"C9432","Mast cell leukemia, in relapse"
"C8141","Lymp-rich class Hodgkin lymph, nodes of head, face, and neck"
"C8335","Diffus large B-cell lymph, nodes of ing rgn and lower limb"
"C641","Malignant neoplasm of right kidney, except renal pelvis"
"C811","Nodular sclerosis classical Hodgkin lymphoma"
"C058","Malignant neoplasm of overlapping sites of palate"
"C8418","Sezary disease, lymph nodes of multiple sites"
"C259","Malignant neoplasm of pancreas, unspecified"
"C511","Malignant neoplasm of labium minus"
"C8354","Lymphoblastic lymphoma, nodes of axilla and upper limb"
"C4370","Malignant melanoma of unspecified lower limb, including hip"
"C8220","Follicular lymphoma grade III, unspecified, unspecified site"
"C9330","Juvenile myelomonocytic leukemia, not achieve remission"
"C469","Kaposi's sarcoma, unspecified"
"C8101","Nodlr lymphocy predom Hdgkn lymph, nodes of head, face, & nk"
"C162","Malignant neoplasm of body of stomach"
"C50011","Malignant neoplasm of nipple and areola, right female breast"
"C84A6","Cutaneous T-cell lymphoma, unsp, intrapelvic lymph nodes"
"C6301","Malignant neoplasm of right epididymis"
"C9512","Chronic leukemia of unspecified cell type, in relapse"
"C479","Malig neoplasm of prph nerves and autonm nervous sys, unsp"
"C8391","Non-follic lymphoma, unsp, nodes of head, face, and neck"
"C5021","Malignant neoplasm of upper-inner quadrant of breast, female"
"C5722","Malignant neoplasm of left round ligament"
"C649","Malignant neoplasm of unsp kidney, except renal pelvis"
"C6921","Malignant neoplasm of right retina"
"C8336","Diffuse large B-cell lymphoma, intrapelvic lymph nodes"
"C50112","Malignant neoplasm of central portion of left female breast"
"C50621","Malignant neoplasm of axillary tail of right male breast"
"C4351","Malignant melanoma of anal skin"
"C50022","Malignant neoplasm of nipple and areola, left male breast"
"C760","Malignant neoplasm of head, face and neck"
"C006","Malignant neoplasm of commissure of lip, unspecified"
"C84Z1","Oth mature T/NK-cell lymph, nodes of head, face, and neck"
"C5022","Malignant neoplasm of upper-inner quadrant of breast, male"
"C254","Malignant neoplasm of endocrine pancreas"
"C6951","Malignant neoplasm of right lacrimal gland and duct"
"C4352","Malignant melanoma of skin of breast"
"C96Z","Oth malig neoplm of lymphoid, hematpoetc and related tissue"
"C8331","Diffuse large B-cell lymphoma, nodes of head, face, and neck"
"C8413","Sezary disease, intra-abdominal lymph nodes"
"C723","Malignant neoplasm of optic nerve"
"C8103","Nodular lymphocyte predom Hodgkin lymphoma, intra-abd nodes"
"C8463","Anaplastic large cell lymphoma, ALK-pos, intra-abd nodes"
"C693","Malignant neoplasm of choroid"
"C569","Malignant neoplasm of unspecified ovary"
"C814","Lymphocyte-rich classical Hodgkin lymphoma"
"C4339","Malignant melanoma of other parts of face"
"C8222","Follicular lymphoma grade III, unsp, intrathorac lymph nodes"
"C8383","Other non-follicular lymphoma, intra-abdominal lymph nodes"
"C8514","Unsp B-cell lymphoma, lymph nodes of axilla and upper limb"
"C493","Malignant neoplasm of connective and soft tissue of thorax"
"C7240","Malignant neoplasm of unspecified acoustic nerve"
"C062","Malignant neoplasm of retromolar area"
"C488","Malig neoplasm of ovrlp sites of retroperiton and peritoneum"
"C9291","Myeloid leukemia, unspecified in remission"
"C691","Malignant neoplasm of cornea"
"C8359","Lymphoblastic lymphoma, extrnod and solid organ sites"
"C9222","Atypical chronic myeloid leukemia, BCR/ABL-neg, in relapse"
"C20","Malignant neoplasm of rectum"
"C50412","Malig neoplasm of upper-outer quadrant of left female breast"
"C5702","Malignant neoplasm of left fallopian tube"
"C661","Malignant neoplasm of right ureter"
"C620","Malignant neoplasm of undescended testis"
"C8175","Oth class Hodgkin lymph, nodes of ing region and lower limb"
"C8269","Cutan folicl center lymphoma, extrnod and solid organ sites"
"C7402","Malignant neoplasm of cortex of left adrenal gland"
"C8287","Other types of follicular lymphoma, spleen"
"C721","Malignant neoplasm of cauda equina"
"C4712","Malig neoplm of prph nerves of left upper limb, inc shoulder"
"C6902","Malignant neoplasm of left conjunctiva"
"C6292","Malig neoplasm of left testis, unsp descended or undescended"
"C674","Malignant neoplasm of posterior wall of bladder"
"C224","Other sarcomas of liver"
"C839","Non-follicular (diffuse) lymphoma, unspecified"
"C6900","Malignant neoplasm of unspecified conjunctiva"
"C161","Malignant neoplasm of fundus of stomach"
"C249","Malignant neoplasm of biliary tract, unspecified"
"C384","Malignant neoplasm of pleura"
"C7652","Malignant neoplasm of left lower limb"
"C571","Malignant neoplasm of broad ligament"
"C099","Malignant neoplasm of tonsil, unspecified"
"C3402","Malignant neoplasm of left main bronchus"
"C8136","Lymphocy depleted class Hodgkin lymphoma, intrapelv nodes"
"C4710","Malig neoplm of prph nerves of unsp upper limb, inc shoulder"
"C8210","Follicular lymphoma grade II, unspecified site"
"C8395","Non-follic lymph, unsp, nodes of ing region and lower limb"
"C8392","Non-follic (diffuse) lymphoma, unsp, intrathorac lymph nodes"
"C629","Malignant neoplasm of testis, unsp descended or undescended"
"C84Z0","Other mature T/NK-cell lymphomas, unspecified site"
"C6961","Malignant neoplasm of right orbit"
"C579","Malignant neoplasm of female genital organ, unspecified"
"C8417","Sezary disease, spleen"
"C8357","Lymphoblastic (diffuse) lymphoma, spleen"
"C93Z0","Other monocytic leukemia, not having achieved remission"
"C8498","Mature T/NK-cell lymphomas, unsp, lymph nodes mult site"
"C4002","Malig neoplasm of scapula and long bones of left upper limb"
"C34","Malignant neoplasm of bronchus and lung"
"C680","Malignant neoplasm of urethra"
"C8389","Oth non-follic lymphoma, extranodal and solid organ sites"
"C715","Malignant neoplasm of cerebral ventricle"
"C50629","Malignant neoplasm of axillary tail of unsp male breast"
"C50319","Malig neoplasm of lower-inner quadrant of unsp female breast"
"C301","Malignant neoplasm of middle ear"
"C004","Malignant neoplasm of lower lip, inner aspect"
"C8230","Follicular lymphoma grade IIIa, unspecified site"
"C519","Malignant neoplasm of vulva, unspecified"
"C5032","Malignant neoplasm of lower-inner quadrant of breast, male"
"I10","Essential (primary) hypertension"
"O1092","Unsp pre-existing hypertension complicating childbirth"
"O10911","Unsp pre-existing htn comp pregnancy, first trimester"
"O10913","Unsp pre-existing htn comp pregnancy, third trimester"
"O10019","Pre-existing essential htn comp pregnancy, unsp trimester"
"O10919","Unsp pre-existing htn comp pregnancy, unsp trimester"
"O10912","Unsp pre-existing htn comp pregnancy, second trimester"
"O10011","Pre-existing essential htn comp pregnancy, first trimester"
"O10013","Pre-existing essential htn comp pregnancy, third trimester"
"O1003","Pre-existing essential hypertension comp the puerperium"
"O1093","Unsp pre-existing hypertension complicating the puerperium"
"O1002","Pre-existing essential hypertension complicating childbirth"
"O10012","Pre-existing essential htn comp pregnancy, second trimester"
"J633","Graphite fibrosis (of lung)"
"J45","Asthma"
"J66","Airway disease due to specific organic dust"
"J43","Emphysema"
"J4599","Other asthma"
"J4551","Severe persistent asthma with (acute) exacerbation"
"J432","Centrilobular emphysema"
"J479","Bronchiectasis, uncomplicated"
"J628","Pneumoconiosis due to other dust containing silica"
"J45991","Cough variant asthma"
"J67","Hypersensitivity pneumonitis due to organic dust"
"J40","Bronchitis, not specified as acute or chronic"
"J671","Bagassosis"
"J662","Cannabinosis"
"J679","Hypersensitivity pneumonitis due to unspecified organic dust"
"J459","Other and unspecified asthma"
"J61","Pneumoconiosis due to asbestos and other mineral fibers"
"J4542","Moderate persistent asthma with status asthmaticus"
"J660","Byssinosis"
"I2789","Other specified pulmonary heart diseases"
"J439","Emphysema, unspecified"
"J620","Pneumoconiosis due to talc dust"
"J678","Hypersensitivity pneumonitis due to other organic dusts"
"J431","Panlobular emphysema"
"J45902","Unspecified asthma with status asthmaticus"
"J684","Chronic resp cond due to chemicals, gases, fumes and vapors"
"J675","Mushroom-worker's lung"
"J668","Airway disease due to other specific organic dusts"
"J672","Bird fancier's lung"
"J452","Mild intermittent asthma"
"J4532","Mild persistent asthma with status asthmaticus"
"J701","Chronic and other pulmonary manifestations due to radiation"
"J630","Aluminosis (of lung)"
"J703","Chronic drug-induced interstitial lung disorders"
"J41","Simple and mucopurulent chronic bronchitis"
"J4530","Mild persistent asthma, uncomplicated"
"J674","Maltworker's lung"
"J471","Bronchiectasis with (acute) exacerbation"
"J4540","Moderate persistent asthma, uncomplicated"
"J64","Unspecified pneumoconiosis"
"J45901","Unspecified asthma with (acute) exacerbation"
"J635","Stannosis"
"I2782","Chronic pulmonary embolism"
"J4590","Unspecified asthma"
"J454","Moderate persistent asthma"
"J62","Pneumoconiosis due to dust containing silica"
"J47","Bronchiectasis"
"J45998","Other asthma"
"J418","Mixed simple and mucopurulent chronic bronchitis"
"J65","Pneumoconiosis associated with tuberculosis"
"J455","Severe persistent asthma"
"J4550","Severe persistent asthma, uncomplicated"
"J673","Suberosis"
"J4541","Moderate persistent asthma with (acute) exacerbation"
"I279","Pulmonary heart disease, unspecified"
"J438","Other emphysema"
"J44","Other chronic obstructive pulmonary disease"
"J441","Chronic obstructive pulmonary disease w (acute) exacerbation"
"J670","Farmer's lung"
"J470","Bronchiectasis with acute lower respiratory infection"
"J440","Chronic obstructive pulmon disease w acute lower resp infct"
"J430","Unilateral pulmonary emphysema [MacLeod's syndrome]"
"J410","Simple chronic bronchitis"
"J661","Flax-dressers' disease"
"J45990","Exercise induced bronchospasm"
"J677","Air conditioner and humidifier lung"
"J60","Coalworker's pneumoconiosis"
"J636","Pneumoconiosis due to other specified inorganic dusts"
"J4531","Mild persistent asthma with (acute) exacerbation"
"J631","Bauxite fibrosis (of lung)"
"J42","Unspecified chronic bronchitis"
"J45909","Unspecified asthma, uncomplicated"
"J4520","Mild intermittent asthma, uncomplicated"
"J676","Maple-bark-stripper's lung"
"J411","Mucopurulent chronic bronchitis"
"J63","Pneumoconiosis due to other inorganic dusts"
"J634","Siderosis"
"J46",
"J449","Chronic obstructive pulmonary disease, unspecified"
"J632","Berylliosis"
"J453","Mild persistent asthma"
"I2781","Cor pulmonale (chronic)"
"I278","Other specified pulmonary heart diseases"
"J4522","Mild intermittent asthma with status asthmaticus"
"J4521","Mild intermittent asthma with (acute) exacerbation"
"J4552","Severe persistent asthma with status asthmaticus"
"F12259","Cannabis dependence with psychotic disorder, unspecified"
"F1590","Other stimulant use, unspecified, uncomplicated"
"F15280","Oth stimulant dependence w stim-induce anxiety disorder"
"F15180","Oth stimulant abuse with stimulant-induced anxiety disorder"
"F15981","Oth stimulant use, unsp w stim-induce sexual dysfunction"
"F11229","Opioid dependence with intoxication, unspecified"
"F1810","Inhalant abuse, uncomplicated"
"F13239","Sedatv/hyp/anxiolytc dependence w withdrawal, unsp"
"F1310","Sedative, hypnotic or anxiolytic abuse, uncomplicated"
"F1594","Oth stimulant use, unsp with stimulant-induced mood disorder"
"F19188","Oth psychoactive substance abuse w oth disorder"
"F19120","Oth psychoactive substance abuse w intoxication, uncomp"
"O99325","Drug use complicating the puerperium"
"F1821","Inhalant dependence, in remission"
"F11959","Opioid use, unsp w opioid-induced psychotic disorder, unsp"
"F1193","Opioid use, unspecified with withdrawal"
"F14250","Cocaine depend w cocaine-induc psych disorder w delusions"
"F18280","Inhalant dependence with inhalant-induced anxiety disorder"
"F16183","Hallucign abuse w hallucign persisting perception disorder"
"F19288","Oth psychoactive substance dependence w oth disorder"
"F11159","Opioid abuse with opioid-induced psychotic disorder, unsp"
"F14982","Cocaine use, unspecified with cocaine-induced sleep disorder"
"F15222","Oth stimulant dependence w intox w perceptual disturbance"
"F1121","Opioid dependence, in remission"
"F16229","Hallucinogen dependence with intoxication, unspecified"
"F12922","Cannabis use, unsp w intoxication w perceptual disturbance"
"F18259","Inhalant depend w inhalnt-induce psychotic disorder, unsp"
"F14922","Cocaine use, unsp w intoxication with perceptual disturbance"
"F11220","Opioid dependence with intoxication, uncomplicated"
"F13282","Sedative, hypnotic or anxiolytic dependence w sleep disorder"
"F16283","Hallucign depend w hallucign persisting perception disorder"
"F15250","Oth stim depend w stim-induce psych disorder w delusions"
"F11288","Opioid dependence with other opioid-induced disorder"
"F1394","Sedative, hypnotic or anxiolytic use, unsp w mood disorder"
"F15229","Other stimulant dependence with intoxication, unspecified"
"F1321","Sedative, hypnotic or anxiolytic dependence, in remission"
"F18980","Inhalant use, unsp with inhalant-induced anxiety disorder"
"F1996","Oth psychoactv sub use, unsp w persist amnestic disorder"
"F1829","Inhalant dependence with unsp inhalant-induced disorder"
"F1926","Oth psychoactv substance depend w persist amnestic disorder"
"F1194","Opioid use, unspecified with opioid-induced mood disorder"
"F1990","Other psychoactive substance use, unspecified, uncomplicated"
"F14281","Cocaine dependence with cocaine-induced sexual dysfunction"
"F12988","Cannabis use, unsp with other cannabis-induced disorder"
"F1319","Sedative, hypnotic or anxiolytic abuse w unsp disorder"
"F1110","Opioid abuse, uncomplicated"
"F1510","Other stimulant abuse, uncomplicated"
"F15159","Oth stimulant abuse w stim-induce psychotic disorder, unsp"
"F13959","Sedatv/hyp/anxiolytc use, unsp w psychotic disorder, unsp"
"F19159","Oth psychoactive substance abuse w psychotic disorder, unsp"
"F15980","Oth stimulant use, unsp w stimulant-induced anxiety disorder"
"F15922","Oth stimulant use, unsp w intox w perceptual disturbance"
"F1324","Sedative, hypnotic or anxiolytic dependence w mood disorder"
"F16122","Hallucinogen abuse w intoxication w perceptual disturbance"
"F1929","Oth psychoactive substance dependence w unsp disorder"
"F1229","Cannabis dependence with unsp cannabis-induced disorder"
"F14981","Cocaine use, unsp with cocaine-induced sexual dysfunction"
"F19220","Oth psychoactive substance dependence w intoxication, uncomp"
"F19180","Oth psychoactive substance abuse w anxiety disorder"
"F1414","Cocaine abuse with cocaine-induced mood disorder"
"F13181","Sedative, hypnotic or anxiolytic abuse w sexual dysfunction"
"F19259","Oth psychoactv substance depend w psychotic disorder, unsp"
"F1299","Cannabis use, unsp with unsp cannabis-induced disorder"
"F16259","Hallucinogen dependence w psychotic disorder, unsp"
"F1129","Opioid dependence with unspecified opioid-induced disorder"
"F13982","Sedative, hypnotic or anxiolytic use, unsp w sleep disorder"
"F1399","Sedative, hypnotic or anxiolytic use, unsp w unsp disorder"
"F13232","Sedatv/hyp/anxiolytc depend w w/drawal w perceptual disturb"
"F14229","Cocaine dependence with intoxication, unspecified"
"F13980","Sedatv/hyp/anxiolytc use, unsp w anxiety disorder"
"F1499","Cocaine use, unsp with unspecified cocaine-induced disorder"
"F554","Abuse of vitamins"
"F14122","Cocaine abuse with intoxication with perceptual disturbance"
"F12159","Cannabis abuse with psychotic disorder, unspecified"
"F18251","Inhalant depend w inhalnt-induce psych disorder w hallucin"
